USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
mdkaif           11480   0.0  0.1 435356752   8480   ??  S     9:53PM   0:03.44 /usr/libexec/replayd
mdkaif           11356   0.0  0.0 435305808   3408   ??  S     9:51PM   0:00.08 /usr/sbin/BTLEServerAgent
_cmiodalassistants 11351   0.0  0.0 435338496   3216   ??  S     9:51PM   0:00.08 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
root             11349   0.0  0.0 435337872   3216   ??  S     9:51PM   0:00.08 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
_locationd       11343   0.0  0.0 435337824   3216   ??  S     9:51PM   0:00.09 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
mdkaif           11294   0.0  0.9 1949186720  72656   ??  S     9:49PM   0:00.33 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=426 --launch-time-ticks=13652488664 --shared-files --metrics-shmem-handle=1752395122,r,17428821386225173855,2943373601378233298,2097152 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709385491699168 --seatbelt-client=339
mdkaif           10829   0.0  0.2 435527632  14848   ??  S     9:48PM   0:00.53 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
root             10811   0.0  0.0 435305184   2272   ??  Ss    9:47PM   0:00.07 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
mdkaif           10659   0.0  0.2 435353712  12784   ??  S     9:47PM   0:04.85 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
mdkaif           10652   0.0  2.0 1959180576 163648   ??  S     9:46PM   0:16.92 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=418 --launch-time-ticks=13507217213 --shared-files --metrics-shmem-handle=1752395122,r,17377787086782011233,1187475411778601635,2097152 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709377995364376 --seatbelt-client=222
mdkaif           10566   0.0  0.9 1949210416  79360   ??  S     9:42PM   0:30.30 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=405 --launch-time-ticks=13235478844 --shared-files --metrics-shmem-handle=1752395122,r,15391469224777859448,9388411579665093111,2097152 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709365813820339 --seatbelt-client=311
